experiment,o_observed,coverage_donor_within,coverage_donor_no_within,coverage_stdcp,coverage_hcp,width_donor_within,width_donor_no_within,width_stdcp,width_hcp,infinite_donor_within,infinite_donor_no_within,infinite_stdcp,infinite_hcp
21,40,0.84,0.78,0.82,0.83,2.272652928142377,1.5344915553144092,1.6488690450084391,1.8871327177038004,0,0,0,0
21,50,0.81,0.79,0.81,0.9,2.2063946751990224,1.3780511235314776,1.4512014005926133,1.8871327177038004,0,0,0,0
22,0,0.88,0.88,,0.88,1.5776194322056665,1.5776194322056665,,1.5776194322056665,0,0,0,0
22,10,0.88,0.86,0.81,0.88,1.5619841925185514,1.4566276692864188,4.420637916020507,1.5776194322056665,0,0,0,0
22,20,0.79,0.86,0.83,0.93,1.4244165324611506,1.3673075667665984,1.9657190423894728,1.5776194322056665,0,0,0,0
22,30,0.79,0.88,0.9,0.88,2.3702462724425657,1.3768706178461259,1.7205471190850257,1.5776194322056665,0,0,0,0
22,40,0.82,0.87,0.84,0.89,2.208482849464401,1.3988781493618738,1.526884265381759,1.5776194322056665,0,0,0,0
22,50,0.75,0.74,0.74,0.84,2.2604241961156086,1.3854558640944503,1.3908322050009696,1.5776194322056665,0,0,0,0
23,0,0.94,0.94,,0.94,1.8740530024287172,1.8740530024287172,,1.8740530024287172,0,0,0,0
23,10,0.86,0.87,0.87,0.91,1.7802883195147046,1.6037348323502636,4.606010243166454,1.8740530024287172,0,0,0,0
23,20,0.82,0.84,0.85,0.93,1.8121126839040174,1.453386018079819,1.8888535434826625,1.8740530024287172,0,0,0,0
23,30,0.76,0.81,0.8,0.88,2.336934129750217,1.4388961303380405,1.5456927782465462,1.8740530024287172,0,0,0,0
23,40,0.81,0.78,0.81,0.94,2.2573439268447464,1.428608264062253,1.5194748295442437,1.8740530024287172,0,0,0,0
23,50,0.8,0.76,0.77,0.86,2.324173537240687,1.481861925632598,1.5724437164778284,1.8740530024287172,0,0,0,0
24,0,0.85,0.85,,0.85,1.5096527749562543,1.5096527749562543,,1.5096527749562543,0,0,0,0
24,10,0.72,0.74,0.8,0.75,1.591085720486543,1.476517217512395,4.650240434800045,1.5096527749562543,0,0,0,0
24,20,0.8,0.74,0.79,0.81,1.745745530967932,1.324398209385404,1.767788767753991,1.5096527749562543,0,0,0,0
24,30,0.8,0.78,0.82,0.79,2.3414209760681577,1.5366440495556928,1.69286561426897,1.5096527749562543,0,0,0,0
